SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1349.00,1375.70,1335.45,1341.95,1341.95,1348.15,430,3988,5401524.00,XD
500003,AEGIS LOGIS ,A ,Q,285.25,291.35,285.20,288.80,288.80,285.20,172,5501,1589765.00,
500008,AMAR RAJA BA,A ,Q,843.90,875.00,843.70,858.20,856.65,839.40,874,22958,19778651.00,
500009,A.SARABHAI  ,X ,Q,13.52,13.90,13.52,13.71,13.90,13.55,99,27509,374466.00,
500010,HDFC        ,A ,Q,1840.00,1860.90,1840.00,1857.85,1855.95,1855.95,944,277531,511864247.00,
500012,ANDHRA PETRO,X ,Q,61.00,61.50,60.05,60.10,60.10,60.45,121,29023,1759669.00,
500013,ANSAL INFRAS,B ,Q,21.90,22.30,21.70,21.85,21.85,21.25,104,18712,411426.00,
500014,APPLE FINANC,XT,Q,2.52,2.52,2.40,2.40,2.50,2.52,14,2312,5572.00,
500016,ARUNA HOTEL ,XT,Q,20.99,20.99,20.99,20.99,20.99,20.99,8,1073,22522.00,
500020,BOM DYEING  ,A ,Q,278.05,294.90,275.55,290.10,290.10,278.35,5311,742744,212072936.00,
500023,ASIANHOTNR  ,T ,Q,312.50,315.00,302.00,313.10,315.00,308.25,6,29,8997.00,
500024,ASSAMCO     ,B ,Q,4.16,4.34,4.15,4.29,4.29,4.24,94,130967,563534.00,
500027,ATUL LTD.   ,A ,Q,2779.00,3090.00,2752.00,2925.40,2925.40,2757.45,2384,20289,59827681.00,
500028,ATV PROJECTS,XT,Q,9.06,10.00,9.06,9.69,9.70,9.53,34,12960,119619.00,
500029,AUTOLITE(I) ,B ,Q,75.75,76.95,73.90,74.55,74.05,76.05,98,6905,518252.00,
500031,BAJAJ ELECT.,A ,Q,651.00,663.75,650.15,653.30,653.30,650.40,980,28757,18888985.00,
500032,BAJAJHIND   ,A ,Q,8.40,8.74,8.33,8.51,8.51,8.39,857,838416,7170854.00,
500033,FORCE MOTR  ,B ,Q,3051.60,3088.00,3012.50,3022.55,3022.55,3050.60,1684,13275,40474272.00,
500034,BAJFINANCE  ,A ,Q,1901.55,1915.35,1894.90,1904.65,1902.00,1897.25,912,18696,35583861.00,
500038,BALRAM.CHINI,A ,Q,65.45,69.25,64.80,66.85,66.85,64.60,3582,868350,58323132.00,
500039,BANCO PROD. ,B ,Q,236.00,236.00,230.00,230.90,230.90,232.45,220,8900,2079402.00,
500040,CENTURY TEXT,A ,Q,1237.00,1255.95,1227.25,1249.80,1249.80,1220.50,1373,43915,54710648.00,
500041,BANNARI AMAN,B ,Q,1715.00,1717.00,1715.00,1717.00,1717.00,1718.00,2,25,42907.00,
500042,BASF INDIA  ,B ,Q,1999.80,2075.00,1982.20,2053.85,2063.80,1978.15,326,1723,3487909.00,
500043,BATA INDIA  ,A ,Q,788.80,797.00,782.55,793.25,793.25,780.60,741,29466,23321571.00,
500048,BEML LTD    ,A ,Q,1045.00,1076.00,1040.25,1061.95,1061.95,1040.85,1107,27077,28685696.00,
500049,BHARAT ELECT,A ,Q,131.20,134.60,131.00,133.20,133.20,131.10,2161,943160,125205569.00,
500052,BHANSALI ENG,B ,Q,200.15,204.40,197.00,198.75,198.75,198.80,1318,189842,38295040.00,
500055,BHUSH STEEL ,B ,Q,24.10,26.40,23.90,23.90,23.90,26.55,3651,1565950,38174809.00,
500058,BIHAR SPONGE,XT,Q,1.62,1.62,1.48,1.48,1.48,1.55,10,1259,1871.00,
500059,BINANI IND. ,B ,Q,88.00,89.90,86.95,87.30,87.30,88.35,159,9439,833699.00,
500060,BIRLACABLE  ,B ,Q,83.00,86.00,81.80,84.05,84.05,84.05,163,14839,1247895.00,
500067,BLUE STAR   ,A ,Q,808.95,810.00,791.30,806.00,806.00,792.65,238,3449,2774461.00,
500068,DISA INDIA  ,X ,Q,6148.00,6148.00,6048.00,6048.00,6048.00,6000.00,4,13,79172.00,
500069,BNK CAPITAL ,X ,Q,99.00,103.25,99.00,99.00,99.00,98.10,26,3205,318919.00,
500074,BPL LTD.    ,B ,Q,82.65,84.35,82.10,82.85,82.85,82.50,645,81794,6815036.00,
500078,OAL         ,X ,Q,849.90,849.90,820.00,823.70,825.00,825.10,78,2003,1657566.00,
500083,CENTURY EXT ,B ,Q,5.00,5.69,5.00,5.31,5.38,5.35,20,8872,47068.00,
500084,CESC LTD.   ,A ,Q,1068.75,1079.05,1057.00,1061.05,1061.05,1064.75,1038,26266,28033565.00,
500085,CHAMBAL FERT,A ,Q,208.00,209.45,201.25,202.50,202.50,206.45,1354,115734,23749863.00,
500086,EXIDE IND.  ,A ,Q,244.10,251.35,243.20,248.15,248.15,243.75,1462,271500,67517527.00,
500087,CIPLA LTD.  ,A ,Q,603.70,607.00,593.00,599.85,599.85,599.85,2273,77766,46668167.00,
500089,DIC INDIA   ,B ,Q,480.85,480.85,470.20,476.85,476.90,470.00,23,654,311428.00,
500092,CRISIL LTD  ,A ,Q,1913.60,1919.60,1895.00,1903.40,1895.00,1911.00,63,504,959692.00,
500093,CGPOWER     ,A ,Q,81.20,84.60,77.60,79.25,80.00,82.35,1332,248839,20228139.00,
500096,DABUR (I)   ,A ,Q,357.85,368.70,357.85,366.40,366.40,357.85,1288,67080,24460038.00,
500097,DALMIASUG   ,B ,Q,63.00,65.95,61.85,63.55,63.55,61.95,248,27545,1765902.00,
500101,ARVIND Ltd  ,A ,Q,418.00,427.15,409.75,415.30,414.85,417.85,2562,1098818,457341717.00,
500102,BALARPUR IND,B ,Q,13.15,13.53,13.15,13.41,13.41,13.24,158,106697,1426138.00,
500103,BHEL        ,A ,Q,86.00,87.20,86.00,86.65,86.65,86.50,971,240079,20817224.00,
500104,HIND.PETRO  ,A ,Q,297.55,311.20,297.50,305.90,305.90,296.55,6591,835392,254640818.00,
500106,IFCI LTD    ,A ,Q,19.80,20.10,19.60,19.90,19.90,19.70,753,330666,6584189.00,
500108,MAHA.TELE   ,B ,Q,19.40,19.75,19.30,19.35,19.35,19.35,378,149571,2918257.00,
500109,MRPL        ,A ,Q,109.00,110.40,107.25,107.70,107.70,109.15,999,155123,16885342.00,
500110,CHENNAI PET.,A ,Q,317.00,328.00,317.00,320.45,320.45,320.30,1010,66880,21570954.00,
500111,REL.CAP.    ,A ,Q,436.00,442.30,428.85,430.85,430.85,427.15,3497,340028,147792974.00,
500112,STATE BANK  ,A ,Q,232.00,245.75,232.00,242.65,242.65,233.35,13744,1733902,419619444.00,
500113,STEEL AUTH. ,A ,Q,76.05,78.00,76.05,77.55,77.55,75.95,1610,762509,58960999.00,
500114,TITAN       ,A ,Q,965.50,977.05,965.50,973.45,967.50,969.70,2432,172012,167209527.00,
500116,IDBI BANK L ,A ,Q,64.30,69.50,64.20,67.30,67.30,66.60,5925,3231153,219482999.00,
500117,DCW LTD.    ,B ,Q,34.00,35.20,34.00,34.50,34.50,34.00,414,93677,3261316.00,
500119,DHAMPUR SUGA,B ,Q,89.80,92.60,84.45,90.25,90.25,86.65,3582,369239,33296439.00,
500120,DIAMINES&CHM,X ,Q,102.50,113.40,102.50,108.30,108.30,100.00,284,24016,2620472.00,
500123,ELANTAS     ,B ,Q,2328.00,2395.00,2211.05,2360.95,2349.95,2236.45,289,2916,6807223.00,
500124,DR.REDDY'S  ,A ,Q,2110.00,2111.00,2087.00,2097.30,2097.30,2080.40,1088,17995,37782153.00,
500125,E.I.D.PAR   ,A ,Q,272.70,276.80,269.45,271.40,271.40,273.00,334,11961,3266947.00,
500126,MERCK LTD   ,B ,Q,1886.00,1928.95,1883.95,1906.05,1906.05,1878.40,551,6612,12599714.00,
500128,ELEC.CASTING,B ,Q,30.25,30.80,30.20,30.35,30.35,30.25,215,42566,1295813.00,
500132,EMPEE SUGARS,XT,Q,2.50,2.62,2.50,2.62,2.62,2.50,8,2006,5105.00,
500133,ESAB INDIA  ,B ,Q,691.00,708.95,686.00,696.75,696.90,688.60,19,179,123932.00,
500135,ESSEL PROP  ,B ,Q,282.00,287.00,268.25,270.00,270.00,263.90,1303,54210,14853461.00,
500136,ESTER INDUS.,B ,Q,73.80,73.80,71.20,71.80,71.80,73.00,105,11463,832668.00,
500139,FEDDERELEC  ,B ,Q,70.00,71.00,70.00,70.50,70.50,69.90,73,13846,978822.00,
500141,FERRO ALLOYS,X ,Q,5.50,5.93,5.37,5.93,5.93,5.65,413,238106,1338207.00,
500144,FINOL. CABLE,A ,Q,712.90,712.90,694.00,702.05,702.05,701.85,115,1782,1249072.00,
500147,CMI FPE     ,X ,Q,892.00,947.70,890.10,938.55,938.55,904.70,25,443,412325.00,
500148,UFLEX LTD   ,A ,Q,343.10,349.00,332.25,334.10,334.10,333.65,1004,39903,13523684.00,
500150,FOSECO INDIA,B ,Q,1575.00,1575.00,1550.00,1555.00,1555.00,1563.25,5,26,40396.00,
500151,GOLDEN TOB  ,T ,Q,65.20,65.20,63.00,65.20,65.00,63.00,10,1247,80332.00,
500153,GANESH BENZO,X ,Q,87.75,87.75,85.25,85.65,85.50,86.25,213,24263,2087827.00,
500155,GARDEN SILK ,B ,Q,35.00,35.00,34.15,34.50,34.15,34.25,22,1212,41948.00,
500159,METROGLOBL  ,X ,Q,77.00,79.75,77.00,79.75,79.75,78.30,7,1229,95195.00,
500160,GTL LTD.    ,B ,Q,10.10,10.30,10.05,10.20,10.20,10.18,65,19651,200583.00,
500163,GODFREY PH  ,A ,Q,875.80,880.60,866.60,871.45,869.00,871.30,154,1372,1197673.00,
500164,GODREJ IND  ,A ,Q,603.90,603.90,592.10,594.00,594.00,595.50,548,19002,11354677.00,
500165,KANSAI NERO ,A ,Q,480.00,485.90,479.05,481.20,484.00,482.05,292,74065,35619304.00,
500166,GOODRICKE   ,X ,Q,340.90,357.95,340.90,355.75,355.75,347.90,94,4578,1609600.00,
500168,GOODYEAR (I),B ,Q,1227.00,1268.40,1227.00,1251.90,1251.90,1239.30,694,8484,10653788.00,
500170,GTN INDUS   ,B ,Q,13.10,13.10,13.10,13.10,13.10,13.35,17,1952,25571.00,
500171,GHCL LTD    ,A ,Q,271.00,280.00,270.00,275.80,275.10,269.60,568,30393,8383131.00,
500173,GUJ.FLOURO  ,B ,Q,853.90,867.00,830.90,859.20,857.00,859.50,214,2757,2371150.00,
500174,GUJ.LEASE   ,T ,Q,1.57,1.57,1.57,1.57,1.57,1.50,2,2400,3768.00,
500179,HCL INFOSYS ,A ,Q,52.70,53.20,51.75,52.10,52.10,52.35,861,269468,14134056.00,
500180,HDFC BANK   ,A ,Q,1926.00,1934.75,1912.00,1922.85,1922.85,1930.30,4203,297361,571081627.00,
500182,HEROMOTOCO  ,A ,Q,3786.60,3786.60,3703.50,3715.00,3711.65,3756.90,996,36286,135882246.00,
500183,HIMACHAL FUT,A ,Q,26.60,27.05,26.50,26.70,26.70,26.40,868,638748,17128838.00,
500184,HSCL        ,B ,Q,151.00,152.50,147.00,147.80,147.80,150.35,1413,188330,28311436.00,
500185,HIND.CONSTN.,A ,Q,22.90,23.45,22.60,22.90,22.90,22.90,1002,586394,13535316.00,
500186,HIND.OIL EXP,B ,Q,125.00,126.70,123.50,124.45,124.45,124.25,697,90578,11330431.00,
500187,HSIL        ,B ,Q,382.75,389.65,382.25,385.60,384.35,381.90,106,1489,575573.00,
500188,HINDUS.ZI   ,A ,Q,320.15,331.90,319.25,326.10,331.90,320.40,1443,159985,51848681.00,
500189,HINDUJA VENT,B ,Q,820.60,823.05,795.00,805.65,799.00,813.90,63,994,810554.00,
500191,HMT LTD.    ,Z ,Q,30.80,30.80,29.00,29.40,30.25,29.50,22,4421,129160.00,
500192,PRAG BOSIMI ,XT,Q,4.94,4.94,4.80,4.80,4.94,4.85,4,1002,4809.00,
500193,HOTEL LEELA.,B ,Q,18.50,18.85,18.40,18.50,18.50,18.60,83,27210,507780.00,
500199,I.G.PETRO   ,B ,Q,761.90,779.70,757.90,774.35,773.00,774.35,161,2613,2006946.00,
500201,IND.GLYCOLS ,B ,Q,584.50,598.80,574.85,581.10,581.10,580.15,2040,84037,49464074.00,
500207,INDO RAMA   ,B ,Q,30.70,31.75,29.50,29.85,29.85,30.55,164,56128,1711287.00,
500209,INFOSYS LTD ,A ,Q,1180.00,1191.70,1175.00,1185.15,1185.15,1175.65,3269,143721,170224361.00,
500210,INGERSOLL   ,B ,Q,669.00,680.00,664.00,670.45,673.00,667.75,193,2718,1827157.00,
500211,INSILCO LTD.,X ,Q,26.05,27.50,26.05,27.30,27.30,26.55,30,8471,229509.00,
500212,INTEG.FIN.SE,XT,Q,35.55,35.55,35.55,35.55,35.55,33.90,1,1,35.00,
500213,INTER.TRAVEL,X ,Q,206.35,210.00,204.10,205.85,205.85,209.35,164,4363,899457.00,
500214,ION EXCHANGE,XT,Q,507.00,507.00,492.75,498.30,501.00,501.60,106,4035,2015417.00,
500215,AGRO TECH FO,B ,Q,715.00,738.95,715.00,722.45,722.45,723.00,373,7262,5283723.00,
500219,JAIN IRRIG  ,A ,Q,116.45,117.45,115.20,116.55,116.55,115.10,1769,498209,58015677.00,
500220,JASCH INDUST,X ,Q,76.50,81.00,76.50,77.70,77.70,80.65,161,33977,2657795.00,
500223,JCT LTD     ,X ,Q,2.90,3.00,2.86,2.88,2.86,2.92,143,104901,307196.00,
500227,JINDAL POLYF,B ,Q,315.00,322.50,311.00,313.70,311.35,312.60,367,31151,9898912.00,
500228,JSWSL       ,A ,Q,327.90,330.45,325.55,327.25,327.25,327.90,1351,131262,43022940.00,
500231,UMANG DAIR  ,B ,Q,86.00,87.90,85.90,86.70,86.30,86.15,96,5438,471845.00,
500233,KAJARIA CER.,A ,Q,545.10,549.50,542.00,545.80,548.80,543.25,409,8227,4487695.00,
500234,KAKATIYA CEM,B ,Q,292.05,302.55,287.70,291.95,291.95,288.40,447,14139,4174233.00,
500235,KALYANI STEL,B ,Q,320.65,327.50,320.65,322.40,322.40,319.90,201,6494,2101661.00,
500238,WHIRLPOOL   ,A ,Q,1579.65,1618.75,1579.00,1581.50,1585.45,1575.10,113,915,1457856.00,
500239,KG DENIM    ,X ,Q,51.00,52.00,48.20,48.45,48.45,49.50,77,17037,848889.00,
500240,KINETIC ENG.,XT,Q,70.75,72.50,70.10,70.15,70.15,71.05,35,4810,340465.00,
500241,KIRL.BROS.  ,B ,Q,278.60,286.50,277.50,279.55,280.00,279.90,132,4071,1146690.00,
500245,KIRL.FERROUS,B ,Q,99.00,101.60,98.65,99.85,99.85,100.15,728,127501,12699131.00,
500247,KOTAK MAH.BK,A ,Q,1192.00,1206.20,1178.60,1188.55,1190.00,1183.75,1445,67675,80391005.00,
500249,KSB PUMPS   ,B ,Q,822.00,844.45,815.15,834.40,833.90,818.00,169,2152,1778384.00,
500250,L.G.BALKRISH,B ,Q,1305.90,1320.05,1261.00,1270.65,1270.65,1294.10,105,753,976969.00,
500251,TRENT LTD.  ,A ,Q,352.05,353.05,350.00,350.35,350.00,350.10,330,4100,1439351.00,
500252,LAKSHMI MACH,A ,Q,8000.00,8080.00,7880.25,7959.15,7959.15,7930.55,420,2031,16152700.00,
500253,LIC HOUS.FIN,A ,Q,554.00,554.30,540.00,543.10,543.10,545.90,2484,71531,39140244.00,
500254,UTTAMVALUE  ,T ,Q,0.19,0.20,0.19,0.20,0.20,0.19,198,1483380,284538.00,
500255,LML LTD.    ,B ,Q,5.68,5.84,5.68,5.78,5.78,5.80,48,18003,103696.00,
500257,LUPIN LTD.  ,A ,Q,796.80,806.50,788.00,801.65,801.65,795.25,1838,74522,59540524.00,
500259,LYKA LABS   ,B ,Q,46.30,46.30,45.25,45.55,45.40,45.55,45,4500,206145.00,
500260,RAMCOCEM    ,A ,Q,811.80,825.00,806.10,812.15,810.05,809.70,436,11177,9090893.00,
500264,MAFATLAL IND,X ,Q,276.00,276.50,276.00,276.05,276.05,278.15,7,84,23189.00,
500265,MAH.SEAMLESS,B ,Q,468.95,468.95,459.00,460.50,459.00,465.85,55,1290,596382.00,
500266,MAH.SCOOTER ,B ,Q,2425.00,2458.00,2418.00,2424.30,2424.30,2408.35,27,259,629502.00,
500267,MAJESTIC AUT,XT,Q,154.25,164.90,154.25,163.80,163.90,159.00,24,2479,403017.00,
500268,MANALI PETRO,B ,Q,35.70,36.50,35.45,35.75,35.75,35.40,352,77364,2777181.00,
500271,MFSL        ,A ,Q,505.90,521.45,505.05,507.90,507.90,508.15,688,27398,14078086.00,
500277,MID INDIA IN,XT,Q,0.49,0.49,0.49,0.49,0.49,0.50,1,300,147.00,
500279,MIRC ELECT  ,B ,Q,47.55,49.30,47.55,47.85,47.85,48.45,367,70314,3400747.00,
500280,CENTURY ENKA,B ,Q,364.00,380.00,363.50,368.00,366.00,367.75,317,14466,5416974.00,
500284,LORDS CHLORO,XT,Q,54.15,57.95,54.15,57.95,57.95,56.55,3,37,2117.00,
500285,SPICEJET LTD,B ,Q,129.50,131.50,126.15,127.35,127.35,128.90,4721,1020564,131882252.00,
500288,MOREPEN LAB.,B ,Q,37.45,39.40,37.40,38.60,38.60,37.45,1138,445192,17222955.00,
500290,MRF LTD.    ,A ,Q,77000.00,80599.95,76933.25,80439.05,80439.05,76841.05,776,1242,98897417.00,
500292,HEIDEL CEM  ,A ,Q,153.20,155.30,153.20,154.45,155.00,152.20,71,3631,560128.00,
500294,NCC         ,A ,Q,127.35,128.35,126.50,127.35,127.00,126.50,546,150730,19201014.00,
500295,VEDL        ,A ,Q,291.60,296.35,290.10,294.20,294.20,291.00,3118,400214,117342790.00,
500296,NAHAR SPG.  ,B ,Q,92.25,93.60,91.35,92.05,92.05,92.15,77,23822,2202022.00,
500298,NAT.PEROXIDE,B ,Q,2894.00,2944.00,2835.00,2855.40,2855.40,2854.45,402,4131,12002847.00,
500300,GRASIM IND. ,A ,Q,1068.00,1088.85,1068.00,1085.95,1080.15,1070.30,756,23773,25631424.00,
500302,PEL         ,A ,Q,2601.50,2651.25,2593.60,2630.95,2630.95,2585.10,1205,13209,34768984.00,
500304,NIIT LTD.   ,A ,Q,114.00,115.25,112.30,113.20,113.20,113.15,1590,151420,17245958.00,
500306,JAYKAY      ,X ,Q,7.49,7.59,7.10,7.23,7.23,7.25,17,4000,29452.00,
500307,NIRLON      ,B ,Q,201.25,202.95,201.00,201.20,201.20,201.20,28,6499,1307266.00,
500312,ONGC CORPN  ,A ,Q,181.00,182.95,179.90,180.75,180.75,181.15,1351,210523,38091229.00,
500313,OIL COUNTRY ,B ,Q,28.10,28.95,27.75,27.95,27.95,28.55,127,18017,509294.00,
500314,ORIENT HOTEL,B ,Q,55.20,55.90,54.00,54.35,54.05,54.85,169,19432,1066274.00,
500315,ORINTAL BANK,A ,Q,89.60,95.75,88.15,93.70,93.70,88.15,2362,561076,52359434.00,
500317,OSWAL AGRO. ,T ,Q,12.75,13.06,12.75,13.05,13.05,12.95,16,6976,90726.00,
500319,INDIAN SUCRO,XT,Q,18.25,18.25,18.25,18.25,18.25,19.20,31,13857,252890.00,
500322,PANYAM CEMEN,X ,Q,44.00,45.80,43.50,44.40,44.40,43.85,49,10063,447248.00,
500325,RELIANCE    ,A ,Q,988.25,1010.70,988.25,994.75,994.75,975.35,19151,1092703,1091551149.00,
500327,PILITA      ,T ,Q,11.95,12.29,11.60,11.77,11.60,11.75,25,8993,107427.00,
500329,PENTAMED.G  ,X ,Q,0.50,0.52,0.49,0.49,0.50,0.51,47,56848,28671.00,
500330,RAYMOND     ,A ,Q,1120.05,1131.50,1091.80,1101.15,1101.15,1111.10,1409,56179,62534905.00,
500331,PIDILITE    ,A ,Q,1086.00,1099.00,1068.05,1070.95,1070.95,1086.35,872,24480,26523262.00,
500333,PIX TRANS   ,X ,Q,136.60,138.90,135.25,135.65,135.65,135.05,68,6384,874262.00,
500335,BIRLA CORPN.,B ,Q,743.00,768.00,730.20,761.65,761.85,739.30,775,34700,26462011.00,
500336,SURYA ROSHNI,B ,Q,424.15,434.00,415.25,431.75,431.75,421.60,810,42250,17966949.00,
500337,PRIME SECUR.,B ,Q,46.00,46.30,44.85,45.35,45.70,45.55,99,8307,375977.00,
500338,PRISM CEMENT,B ,Q,117.40,121.75,117.00,119.30,119.30,117.15,1006,86303,10313413.00,
500339,RAIN        ,A ,Q,320.90,331.35,315.05,326.85,326.85,318.45,4487,418677,136300541.00,
500343,AMJLAND     ,B ,Q,28.00,29.00,27.35,28.50,28.95,27.00,67,6982,197915.00,
500346,PUN.COMMUNI.,B ,Q,34.70,35.65,34.70,35.65,35.65,35.35,3,200,7082.00,
500350,RSWM  LTD   ,B ,Q,321.00,341.20,316.20,331.15,341.20,318.75,94,2353,771897.00,
500354,RAJSH.SUGAR ,B ,Q,33.10,34.00,32.50,32.60,32.50,32.00,50,3196,106444.00,
500355,RALLIS INDIA,A ,Q,229.70,232.20,218.35,219.50,219.50,234.40,1659,68796,15331978.00,
500356,RAMANEWS    ,B ,Q,26.60,27.55,26.35,27.25,27.20,26.30,99,16215,436915.00,
500357,RAMA PAPER  ,XT,Q,9.75,9.75,9.75,9.75,9.75,10.00,1,50,487.00,
500358,RAMA PETRO  ,X ,Q,4.47,4.47,4.05,4.47,4.47,4.26,3,165,695.00,
500360,RAPICUT CARB,X ,Q,68.20,69.50,67.65,69.00,69.00,68.15,23,983,67726.00,
500365,RMGALLOY    ,XT,Q,16.91,16.91,16.91,16.91,16.91,16.11,32,114562,1937243.00,
500366,ROLTA (I)   ,B ,Q,62.25,63.00,61.70,62.00,61.85,61.95,572,101466,6316001.00,
500367,RUBFILA INT.,X ,Q,74.50,77.00,74.50,74.95,75.20,76.10,62,10160,762371.00,
500368,RUCHI SOYA  ,B ,Q,15.95,16.00,15.50,15.55,15.55,15.50,355,200738,3140275.00,
500378,JINDAL SAW  ,A ,Q,121.00,124.15,121.00,121.90,121.90,121.00,457,66499,8151761.00,
500380,JK LAKSHMI  ,A ,Q,406.00,407.65,396.60,397.40,397.40,400.65,182,5188,2073729.00,
500387,SHREE CEMENT,A ,Q,17400.00,17475.70,16934.90,17034.40,16991.00,17209.50,146,298,5110381.00,
500390,REL INFRA   ,A ,Q,440.00,451.20,440.00,443.95,443.95,441.20,1708,133824,59849864.00,
500399,STEELCO GUJ.,X ,Q,5.42,6.79,5.42,6.50,6.50,6.25,42,3127,19490.00,
500400,TATA POWER  ,A ,Q,85.95,88.20,85.35,87.60,87.60,85.90,1394,296245,25787247.00,
500402,SPMLINFRA   ,B ,Q,92.60,92.60,89.25,90.65,90.50,92.00,75,6002,547623.00,
500403,SUNDARAM FAS,A ,Q,589.75,597.00,579.95,588.70,588.70,590.70,386,9337,5486549.00,
500404,SUNFLAG IRON,B ,Q,89.70,91.20,89.15,89.75,89.20,89.15,648,147585,13321337.00,
500405,SUPREME PET ,B ,Q,320.90,323.55,312.30,313.35,314.45,317.00,129,2846,900857.00,
500407,SWARAJ ENGIN,B ,Q,2090.00,2110.00,2078.00,2098.75,2100.00,2076.65,193,1176,2462483.00,
500408,TATA ELXSI  ,A ,Q,1222.00,1229.45,1190.70,1199.30,1199.30,1217.15,2314,78159,93944440.00,
500410,ACC LTD     ,A ,Q,1545.00,1564.10,1545.00,1560.40,1560.00,1547.00,490,7162,11140826.00,
500411,THERMAX     ,A ,Q,1157.15,1169.45,1132.00,1141.95,1140.00,1130.50,263,1671,1912833.00,
500412,THIRUMALAI  ,B ,Q,2199.00,2230.00,2179.00,2190.85,2190.85,2168.40,1088,15047,33167734.00,
500413,THOMAS COOK ,B ,Q,293.00,293.10,287.00,291.65,291.65,292.30,704,863296,252053095.00,
500414,TIMEX GROUP ,XT,Q,54.45,55.70,53.10,55.50,55.50,54.45,113,34753,1904450.00,
500418,TOKYO PLAST ,B ,Q,91.05,92.00,86.10,91.55,91.55,91.05,42,1579,143906.00,
500420,TORRENT PHAR,A ,Q,1405.00,1420.00,1370.70,1388.05,1420.00,1393.65,223,1747,2428119.00,
500422,TRANSCHEM   ,X ,Q,34.50,36.85,34.00,34.75,34.75,34.55,23,1081,37627.00,
500425,AMBUJA CEME ,A ,Q,241.80,245.80,241.80,244.50,245.45,242.75,300,29825,7265201.00,
500426,UTLINDS     ,XT,Q,8.80,9.38,8.75,9.08,9.38,8.95,13,5728,51322.00,
500429,UNIPHOS ENT.,B ,Q,86.55,90.75,86.55,87.95,87.95,87.90,52,3892,346289.00,
500439,VARD HOLDNG ,B ,Q,4011.00,4169.00,4011.00,4106.50,4080.00,4048.00,21,27,111196.00,
500440,HINDALCO    ,A ,Q,236.40,238.00,234.00,235.20,235.20,233.75,2125,426102,100640910.00,
500444,WEST COAS PA,B ,Q,302.65,303.50,290.00,293.20,294.00,299.55,341,12549,3694062.00,
500449,HIND.ORG.CHM,B ,Q,25.45,26.45,25.20,25.40,25.40,25.65,162,50316,1290687.00,
500450,MPIL CORP L ,X ,Q,201.00,220.00,200.55,200.55,200.55,211.05,4,114,23021.00,
500456,PAS.ACRYLON ,X ,Q,27.75,27.75,27.00,27.15,27.00,27.40,232,64291,1754864.00,
500459,PROCTER &GAM,A ,Q,9625.00,9680.00,9275.00,9421.90,9520.35,9608.35,443,1745,16435900.00,
500460,MUKAND LTD. ,B ,Q,69.15,73.00,69.15,70.50,70.50,68.20,659,858158,60918845.00,
500463,AGCNET      ,B ,Q,134.00,137.70,129.00,131.40,134.95,126.70,83,3048,408025.00,
500464,UCAL FUEL   ,B ,Q,267.05,272.00,263.35,267.25,267.25,265.55,186,6221,1666645.00,
500467,HARR.MALAYAL,B ,Q,106.85,109.40,105.50,107.10,107.00,105.95,302,24273,2603937.00,
500469,FEDERAL BANK,A ,Q,97.50,100.25,97.50,98.25,98.25,97.15,3999,935422,92491833.00,
500470,TATA STEEL  ,A ,Q,580.95,594.30,580.95,589.65,589.65,579.05,3895,298602,175812231.00,
500472,SKF INDIA   ,A ,Q,1835.00,1870.75,1820.05,1842.35,1835.00,1853.15,105,493,908446.00,
500477,ASHOK LEYL. ,A ,Q,163.20,164.50,161.15,162.00,162.00,162.75,3162,653630,106313031.00,
500480,CUMMINS (I) ,A ,Q,751.45,766.35,750.05,759.25,759.25,744.35,739,17952,13650002.00,
500483,TATA COMM   ,A ,Q,616.15,625.00,616.15,620.70,624.95,619.55,153,4697,2921060.00,
500488,ABBOTT (I)  ,B ,Q,6026.60,6200.00,6026.60,6168.95,6191.05,6086.95,50,143,879262.00,
500490,BAJ HOLD INV,A ,Q,2616.75,2645.00,2613.05,2627.15,2645.00,2614.50,140,1354,3550395.00,
500493,BHARAT FORGE,A ,Q,773.80,781.40,762.15,774.50,774.50,770.25,1218,56381,43758403.00,
500495,ESCORTS LTD.,A ,Q,974.00,993.25,965.00,974.50,974.50,958.80,3122,156634,153893896.00,
500500,HIND.MOTORS ,T ,Q,7.26,7.47,7.10,7.27,7.30,7.19,76,25115,182906.00,
500510,LARSEN & TOU,A ,Q,1348.20,1382.30,1348.20,1376.80,1377.00,1347.00,5753,131231,179785822.00,
500520,MAH & MAH   ,A ,Q,860.00,866.85,852.00,861.45,861.45,859.65,1981,61784,53202335.00,
500530,BOSCH LTD   ,A ,Q,19690.00,19835.00,19432.45,19586.10,19599.95,19630.75,158,367,7232969.00,
500540,PREMIER LTD ,B ,Q,20.70,21.95,20.50,21.30,21.20,21.10,31,3054,65206.00,
500547,BHARAT PET. ,A ,Q,387.70,394.20,383.50,389.10,389.10,385.20,2826,259595,101333958.00,
500550,SIEMENS LTD.,A ,Q,1091.05,1102.00,1086.85,1093.45,1090.90,1089.95,408,6701,7337414.00,
500570,TATA MOTORS ,A ,Q,332.15,337.55,331.35,336.80,336.80,330.30,5134,512142,171244542.00,
