SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
513250,JYOTI STRUCT,Z ,Q,5.20,5.20,5.20,5.20,5.20,5.47,64,92621,481629.00,
513252,JAY USHIN   ,XT,Q,581.00,600.00,581.00,584.45,582.10,606.00,13,33098,19395252.00,
513262,ST.STR.WHEEL,B ,Q,1380.00,1399.20,1315.00,1333.40,1339.70,1351.25,177,1024,1375433.00,
513269,MAN IND.(I) ,B ,Q,136.00,136.90,133.15,133.55,133.35,134.30,193,33195,4483693.00,
513303,MODERN STEEL,XT,Q,15.35,15.35,15.35,15.35,15.35,16.15,1,2,30.00,
513307,SYNTHIKO FOI,XT,Q,33.35,33.35,33.35,33.35,33.35,35.10,1,15,500.00,
513335,METALFORGE  ,B ,Q,23.55,23.55,21.35,21.55,21.55,22.45,85,11016,241018.00,
513349,AJMERA      ,B ,Q,268.00,270.00,261.05,263.15,263.15,267.95,224,10718,2864460.00,
513353,COCHIN MIN. ,X ,Q,104.10,106.00,102.60,105.10,106.00,102.65,58,3921,406626.00,
513361,ISW LTD     ,X ,Q,2.90,2.90,2.73,2.79,2.82,2.78,150,113653,319421.00,
513375,CARBORUNDUM ,A ,Q,363.00,367.65,360.00,364.30,364.95,358.60,101,2313,839169.00,
513377,MINERAL&METL,A ,Q,67.25,67.95,65.55,65.85,65.85,66.50,1504,293919,19625556.00,
513397,VALLABH STEL,X ,Q,27.95,27.95,27.95,27.95,27.95,26.65,1,500,13975.00,
513401,ASHIANA ISP.,X ,Q,29.70,29.75,29.70,29.75,29.75,29.55,3,435,12929.00,
513403,PM TELELINN ,X ,Q,1.91,1.91,1.91,1.91,1.91,1.97,1,100,191.00,
513414,SMPL        ,B ,Q,1.12,1.15,1.10,1.10,1.10,1.15,4,11894,13378.00,
513434,TATA METALIK,B ,Q,878.00,878.00,832.00,838.40,838.40,854.00,987,32078,27218884.00,
513436,SHAH ALLOYS ,B ,Q,43.50,43.60,42.40,43.60,43.60,41.55,151,41717,1814672.00,
513446,MONNETISPA  ,B ,Q,14.60,14.60,14.60,14.60,14.60,15.35,67,24155,352663.00,
513456,KANISHK ST. ,XT,Q,11.55,11.55,11.55,11.55,11.55,11.00,1,1,11.00,
513472,SIMPLEX CAST,X ,Q,151.65,151.65,151.65,151.65,151.65,151.65,2,100,15165.00,
513488,SH.STEEL WIR,XT,Q,16.00,16.00,15.75,15.75,15.75,16.50,3,599,9559.00,
513509,KALYANI FORG,T ,Q,312.00,313.75,298.55,313.75,313.75,312.40,19,566,171798.00,
513511,PANCH.STEEL ,X ,Q,46.75,47.30,43.70,43.70,43.70,43.95,6,863,39567.00,
513515,S.R.INDUS.  ,XT,Q,28.90,28.95,27.00,27.50,27.50,27.90,13,9303,261217.00,
513517,STEELCAST   ,X ,Q,193.00,200.00,181.70,198.05,198.05,200.20,47,4679,926095.00,
